SYMBOL;GENENAME;GSM2696758;GSM2696759;GSM2696760;GSM2696761;GSM2696762;GSM2696763;GSM2696764;GSM2696765;GSM2696766;GSM2696767;GSM2696768;GSM2696769;GSM2696770
SLC25A13;solute carrier family 25 member 13;6.59673941122032;6.52159253403959;6.53861950942875;6.38794599898961;6.19664680401591;6.24657052410695;6.52159253403959;6.52922895362493;6.65318226303791;6.90024738752388;6.52159253403959;6.27436991580787;6.73800819531871
ST7|ST7-OT3;suppression of tumorigenicity 7|ST7 overlapping transcript 3;6.31495638539316;6.47937945371283;6.38264176189088;6.20799867858095;6.14460328273357;6.29352282831302;6.4184313001628;7.71123093959482;7.62698365726735;7.46802452295199;7.37004311091842;6.79201269198164;6.57724891129078
CDC27;cell division cycle 27;7.24955890256462;7.44687629767455;7.13996337095727;7.0715433601314;7.34276238689721;7.10213242150395;7.59486111696475;7.71811913135231;7.63762296611438;8.07672961830326;7.88760715082647;7.91629800004998;7.75390638950437
SLC4A1;solute carrier family 4 member 1 (Diego blood group);3.64559793806812;3.39920971040902;3.72569079422715;3.74014234532629;3.61828778700613;3.67400370357545;3.50591190571681;3.67400370357545;3.72374441796178;3.60103197905426;3.89389224633534;3.76508290712418;3.67400370357545
CALCR;calcitonin receptor;3.07780867223891;3.1293611127553;3.12349471216966;2.97872688754536;3.08538983487755;3.1808172701917;3.00517758585577;3.0277232531903;2.93790097893628;3.10250946862587;3.23970694572013;3.07720359573906;3.08538983487755
HCCS;holocytochrome c synthase;7.8615376398419;7.88195179246911;7.96933349603983;7.92310770667406;7.69973990221;7.92394928964233;8.05488472671593;8.68818750201655;8.57133836281838;8.57485445686374;8.65148786212691;8.26757193182532;8.09049136983314
DVL2;dishevelled segment polarity protein 2;6.3118547848023;6.27802000302396;6.5265826704982;6.27137008790833;6.38516420730724;6.56031722108725;6.41973219717612;6.37019936251527;6.23315419169268;6.19157858767161;6.41184535397628;6.77826911075274;6.27471333104204
UPF1;UPF1 RNA helicase and ATPase;6.0697944299658;5.91621589536851;6.07989074092808;6.23918264316973;5.96913981079873;6.06198574722751;6.20691670305362;6.01886654823199;6.00566482504657;5.83454563787574;5.96120838216169;6.28474695403743;6.19665237673392
SKAP2;src kinase associated phosphoprotein 2;7.87110750343038;7.99426995282053;7.74155223541935;7.75644517116217;7.87392532535093;7.8472971173879;7.99278640675093;7.10766184544498;6.99492228202252;7.24629462431933;7.33939952617324;8.05452451419537;7.84707452324735
SLC25A5;solute carrier family 25 member 5;9.31311326236036;9.09684111922381;9.52125894229536;9.21970262525074;9.13550663782388;9.18839751767485;9.3140590100497;9.31620420370539;9.35736803570667;8.90540272178117;9.05585186579019;9.71259341426022;9.7920040721792
